Symbol,Action,Quantity,Price,Amount,Buy/Sell
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),0.2,478.91,-95.78,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.125,389.03,-48.63,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.25,345.39,-86.35,Buy
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),0.3,432.99,-129.9,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.625,341.68,-213.55,Buy
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),0.5,418.24,-209.12,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.25,318.32,-79.58,Buy
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),3,390.17,-1170.51,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),1,289.31,-289.31,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.75,289.31,-216.98,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.5,315.3,-157.65,Buy
IWF,YOU BOUGHT ISHARES TR RUS 1000 GRW ETF (IWF) (Cash),1,215.65,-215.65,Buy
IWD,YOU BOUGHT ISHARES RUSSELL 1000 VALUE ETF (IWD) (Cash),1,138.59,-138.59,Sell
IWF,YOU SOLD ISHARES TR RUS 1000 GRW ETF (IWF) (Cash),-1,213.47,213.46,Sell
IWD,YOU SOLD ISHARES RUSSELL 1000 VALUE ETF (IWD) (Cash),-1,141.16,141.15,Sell
IVV,YOU SOLD ISHARES CORE S&P 500 ETF (IVV) (Cash),-4,368.25,1472.94,Sell
QQQ,YOU SOLD INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),-0.5,269.48,134.73,Sell
QQQ,YOU SOLD INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),-3,269.49,808.45,Sell
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),3,397.82,-1193.46,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),2,283.46,-566.92,Buy
HYG,YOU BOUGHT ISHARES TR IBOXX HI YD ETF (HYG) (Cash),1,76.06,-76.06,Buy
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),1,415.12,-415.12,Buy
HYG,YOU SOLD ISHARES TR IBOXX HI YD ETF (HYG) (Cash),-1,74.64,74.63,Sell
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),3,399.12,-1197.36,Buy
KRE,YOU BOUGHT SPDR SER TR S&P REGL BKG (KRE) (Cash),5,44.77,-223.85,Buy
XOP,YOU BOUGHT SPDR SER TR S&P OILGAS EXP (XOP) (Cash),1,124.79,-124.79,Buy
74347Y854,YOU BOUGHT PROSHARES TR II VIX SH TRM FUTRS 1 F... (74347Y854) (Cash),1,10.19,-10.19,Buy
HYG,YOU BOUGHT ISHARES TR IBOXX HI YD ETF (HYG) (Cash),4,72.81,-291.24,Buy
SHY,YOU BOUGHT ISHARES TRUST 1-3 YEAR TREASURY BOND ETF (SHY) (Cash),2,82.26,-164.52,Buy
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),0.5,387.53,-193.77,Buy
XOP,YOU BOUGHT SPDR SER TR S&P OILGAS EXP (XOP) (Cash),1,119.17,-119.17,Buy
XOP,YOU BOUGHT SPDR SER TR S&P OILGAS EXP (XOP) (Cash),2,135.66,-271.32,Buy
949764BE3,YOU BOUGHT FACT SHEET TO FOLLOW WELLS FARGO BANK NATL ASSN CD 4.95000% 10/25/2023 (Cash),1000,100,-1000,Buy
IVV,YOU SOLD ISHARES CORE S&P 500 ETF (IVV) (Cash),-0.5,420.82,210.4,Sell
IVV,YOU SOLD ISHARES CORE S&P 500 ETF (IVV) (Cash),-3,420.69,1262.05,Sell
IVV,YOU SOLD ISHARES CORE S&P 500 ETF (IVV) (Cash),-4,420.85,1683.38,Sell
QQQ,YOU SOLD INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),-2,337.48,674.95,Sell
IWM,YOU BOUGHT ISHARES RUSSELL 2000 ETF (IWM) (Cash),5,196.71,-983.55,Sell
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),1,457.49,-457.49,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.5,386.79,-193.4,Buy
XOP,YOU BOUGHT SPDR SER TR S&P OILGAS EXP (XOP) (Cash),1,146.02,-146.02,Buy
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),1,421.12,-421.12,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),0.5,351.68,-175.84,Buy
SHY,YOU SOLD ISHARES TRUST 1-3 YEAR TREASURY BOND ETF (SHY) (Cash),-2,82,164,Sell
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),2,477.58,-955.16,Buy
QQQ,YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),2,408.35,-816.7,Buy
IWM,YOU BOUGHT ISHARES RUSSELL 2000 ETF (IWM) (Cash),2,190.72,-381.44,Sell
IWM,YOU BOUGHT ISHARES RUSSELL 2000 ETF (IWM) (Cash),0.5,190.72,-95.36,Sell
IVV,YOU BOUGHT ISHARES CORE S&P 500 ETF (IVV) (Cash),1,476.29,-476.29,Buy
XOP,YOU BOUGHT SPDR SER TR S&P OILGAS EXP (XOP) (Cash),1,133.94,-133.94,Buy
